gemeente,gemeente_id,bureau_id,bureau_label,bureau_zip,total_counted,cast,votes_ongeldig,votes_blanco,50PLUS,VVD,Staatkundig Gereformeerde Partij (SGP),Water Natuurlijk,Gemeentebelangen Drenthe~Overijssel,ChristenUnie,AWP niet politiek wel deskundig,CDA,Ons Water,West-Brabant Waterbreed,Partij van de Arbeid (P.v.d.A.),Partij voor de Dieren,Waterbelang Venlo,Waterbelang Midden-Limburg,Waterbelang Heuvelland,Waterbelang Land van Weert + Leudal,Waterbelang Westelijke Mijnstreek,Waterbelang Venray en Maasduinen,Waterbelang Horst-Helden-Beesel,Waterbelang Parkstad,Lokaal Limburg,Waterbelang Maastricht,SGP-ChristenUnie,Ons-Platteland,ChristenUnie-SGP,Trots op Nederland (TROTS),Vrienden van de Berkel,Vereniging Dorpshuizen en Kleine Kernen,Betaalbaar Water,Lokaal Waterbeheer,Verenigde Senioren Partij,"Groen, Water & Land",Natuurlijk BBW,Ouderen Appèl - Hart voor Water,Waterschapspartij Zeeuws-Vlaanderen,Partij voor Zeeland,AWP Niet Politiek Wel Deskundig,"AWPenLRR niet politiek, wel lokaal",Waterschapspartij Hollandse Delta,Hollandse Delta Natuurlijk,OUDERENPARTIJ,,Waterschap@inwonersbelangen,"AWP niet politiek, wel deskundig",FNP,Lagere Lasten Burger,Werken aan Water,De Groenen,Socialistische Waterschapsvereniging,Forum Duurzaam Effectief Waterschap,De Republikeinse Politieke Partij,QUEER,Integer Liberaal,Partij Sociaal Cultureel Centrum (PSCC),Waterschapspartij PUUR.,"Water, Wonen en Natuur",ChristenUnie/SGP,Werk aan Water Flevoland,OPA
Beuningen,0209,0209::SB7,Stembureau Verpleeghuis Waelwick,6644 CP,727,1609,0,20,128,111,2,127,,7,,146,,,80,75,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,
Beuningen,0209,0209::SB8,Stembureau MFA 't Hart,6644 EA,753,1548,4,16,73,151,9,147,,20,,162,,,74,68,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,
Beuningen,0209,0209::SB9,Stembureau Sporthal-Dorpshuis de Kloosterhof,6551 EB,651,917,2,16,117,88,1,112,,7,,117,,,99,81,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,
Beuningen,0209,0209::SB10,Stembureau Muziekcentrum Ulto,6645 AD,418,876,1,3,47,73,2,81,,8,,95,,,50,36,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,
Beuningen,0209,0209::SB11,Stembureau School De Hoeven,6641 WR,632,1197,3,20,89,97,6,146,,14,,96,,,95,58,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,
Beuningen,0209,0209::SB12,Stembureau De Lèghe Polder,6641 DC,711,1436,3,19,115,88,4,140,,8,,137,,,120,69,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,
Beuningen,0209,0209::SB13,Stembureau Sporthal Tinnegieter,6641 DH,778,1402,3,19,130,93,7,158,,19,,124,,,124,82,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,
Beuningen,0209,0209::SB14,Stembureau Zaal 't Centrum,6551 ZN,493,1173,6,12,57,76,2,116,,11,,76,,,77,51,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,
Beuningen,0209,0209::SB15,Stembureau De Paulus,6645 BT,500,755,3,7,51,87,3,85,,7,,141,,,59,38,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,
Zutphen,0301,0301::SB1,Stembureau Nieuwe Stadhuis,7201 DN,803,1015,1,15,27,78,,278,,,48,64,,,165,,,,,,,,,,,,,,,,140,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
