title,gender,price,source
Shorts,dames,9.90,ca
Bikinitopje,dames,9.90,ca
Pet,dames,4.90,ca
T-shirt,dames,3.90,ca
T-shirt - NASA,dames,7.00,ca
T-shirt,dames,3.90,ca
T-shirt,dames,3.90,ca
Pet,dames,4.90,ca
T-shirt,dames,17.90,ca
Jurk,dames,10.90,ca
Gymtas,dames,3.90,ca
Blouse,dames,15.90,ca
T-shirt - biokatoen - glanseffect,dames,7.90,ca
Bikinibroekje,dames,4.90,ca
Bikinibroekje - gestreept,dames,6.90,ca
Hipster,dames,2.90,ca
Bikinibroekje - gestreept,dames,6.90,ca
Blouse,dames,11.90,ca
Tankinitopje met beugels - gewatteerd,dames,14.90,ca
Jumpsuit - glanseffect,dames,14.90,ca
Shape-top,dames,9.90,ca
Shape-body,dames,9.90,ca
Bikinitopje - gewatteerd,dames,10.90,ca
Shorts - gestreept,dames,9.90,ca
T-shirt - biokatoen - met stippen,dames,2.90,ca
Zwangerschapsrok,dames,11.90,ca
Bigshirt,dames,9.90,ca
Pyjama - met stippen,dames,11.90,ca
Pyjamabroek,dames,7.90,ca
Pyjama,dames,9.90,ca
T-shirt,dames,3.90,ca
Blouse,dames,4.50,ca
Bikinitopje - gewatteerd,dames,10.90,ca
Blazer - linnenmix,dames,17.90,ca
Hoed,dames,9.90,ca
Body,dames,7.90,ca
T-shirt,dames,4.90,ca
Bikinitop - gewatteerd - gestreept,dames,8.90,ca
Jurk,dames,9.00,ca
Zonnebril,dames,3.90,ca
T-shirt,dames,7.90,ca
T-shirt,dames,11.90,ca
Topje - glanseffect,dames,4.50,ca
Schoudertas,dames,12.90,ca
Shorts,dames,14.90,ca
Blouse - biokatoen - gestreept,dames,9.90,ca
Blouse - biokatoen,dames,9.90,ca
Hipster,dames,5.90,ca
Rok,dames,9.90,ca
Rok - gestreept,dames,9.90,ca
Shorts - gestreept,dames,19.90,ca
Shopper - gestreept,dames,14.90,ca
THE C&A PLUNGE - gewatteerd,dames,14.90,ca
Broek - Palazzo,dames,19.90,ca
THE SLIM JEANS,dames,19.90,ca
Schoudertas,dames,14.90,ca
THE C&A DEMI - gewatteerd,dames,14.90,ca
Jeansblouse,dames,19.90,ca
Topje,dames,14.90,ca
Spijkerjasje,dames,19.90,ca
Capribroek - biokatoen,dames,24.90,ca
Jurk,dames,19.90,ca
Jumpsuit,dames,14.90,ca
Broek - Palazzo - gestreept,dames,14.90,ca
Capribroek,dames,24.90,ca
