,articlecode,category,heading,href,price,quality,swatches
2909,0756221002,ladies_lingerie_bras_softwireless,Set van 2 katoenen soft-bh‘s,/nl_nl/productpage.0756221002.html,14.99,,['Wit/lichtgrijs']
2910,0685942002,ladies_dresses_maxidresses,Maxi-jurk,/nl_nl/productpage.0685942002.html,39.99,,['Poederroze']
2911,0781403001,ladies_tops_croppedtops,Croptop met strik,/nl_nl/productpage.0781403001.html,24.99,,['Wit']
2912,0742924003,ladies_swimwear_bikinisets_bottoms,Bikinislip - High waist,/nl_nl/productpage.0742924003.html,9.99,,['Donkerblauw/zebradessin']
2913,0712519002,ladies_skirts_shortskirts,Korte rok,/nl_nl/productpage.0712519002.html,24.99,,['Zwart']
2914,0578311009,ladies_shoes_ballerinas_flats,Ballerina's met spitse neus,/nl_nl/productpage.0578311009.html,39.99,PREMIUM QUALITY,['Zwart']
2915,0775313001,ladies_tops_vests,Geribde straptop,/nl_nl/productpage.0775313001.html,9.99,,['Roomwit']
2916,0445419015,ladies_tops_shortsleeve,Top met rugdecolleté,/nl_nl/productpage.0445419015.html,19.99,,['Mosterdgeel']
2917,0709027002,ladies_plus_jacketsblazers,H&M+ Katoenen parka,/nl_nl/productpage.0709027002.html,59.99,,['Kakigroen']
2918,0693243003,ladies_cardigansjumpers_jumpers,Fijngebreide trui,/nl_nl/productpage.0693243003.html,19.99,,['Grijs gemêleerd']
2919,0752468002,ladies_shirtsblouses_blouses,Blouse met strikbandjes,/nl_nl/productpage.0752468002.html,19.99,,['Wit/bloemen']
2920,0573652001,ladies_sport_tops,Gedoubleerde sporttop,/nl_nl/productpage.0573652001.html,19.99,,['Donkergrijs']
2921,0709692002,ladies_jacketscoats_jackets,Geruite blazer,/nl_nl/productpage.0709692002.html,39.99,,['Zwart/geel geruit']
2922,0608213007,ladies_plus_dresses,H&M+ Jurk met V-hals,/nl_nl/productpage.0608213007.html,19.99,,['Lichtbeige/dessin']
2923,0669882007,ladies_tops_longsleeve,Top met geknoopt detail,/nl_nl/productpage.0669882007.html,14.99,,['Lichtbeige']
2924,0717932004,ladies_shoes_ballerinas_flats,Ballerina‘s met spitse neus,/nl_nl/productpage.0717932004.html,19.99,,['Zwart']
2925,0760729001,ladies_skirts_shortskirts,Rok met broderie anglaise,/nl_nl/productpage.0760729001.html,39.99,,['Zwart']
2926,0685454002,ladies_maternity_jeans,MAMA Bootcut Jeans,/nl_nl/productpage.0685454002.html,39.99,,['Licht denimblauw']
2927,0759117004,ladies_dresses_mididresses,Cargojurk,/nl_nl/productpage.0759117004.html,49.99,,['Olijfgroen']
2928,0717464002,ladies_tops_vests,Lange straptop,/nl_nl/productpage.0717464002.html,4.99,,['Wit']
2929,0760970002,ladies_shirtblouses_offshoulderblouses,Off-the-shoulderblouse,/nl_nl/productpage.0760970002.html,19.99,,['Roomwit']
2930,0730482003,ladies_tops_vests,Glanzende straptop,/nl_nl/productpage.0730482003.html,17.99,,['Koraal']
2931,0682068003,ladies_trousers_chinosslacks,Enkellange corduroy broek,/nl_nl/productpage.0682068003.html,24.99,,['Zwart']
2932,0752358002,ladies_plus_tops,H&M+ Mouwloze top,/nl_nl/productpage.0752358002.html,14.99,,['Wit/zwart gestreept']
2933,0429313023,ladies_lingerie_bras_superpushup,Kanten superpush-up bh,/nl_nl/productpage.0429313023.html,17.99,,['Lichtroze']
2934,0783422001,ladies_dresses_shortdresses,Overhemdjurk met strikceintuur,/nl_nl/productpage.0783422001.html,29.99,,['Zwart']
2935,0580602001,ladies_tops_shortsleeve,Top met volants,/nl_nl/productpage.0580602001.html,7.99,,['Poederroze']
2936,0723295002,ladies_jacketscoats_biker,Bikerjack,/nl_nl/productpage.0723295002.html,39.99,,['Zwart']
2937,0505882002,ladies_lingerie_bras_balconette,Set van 2 strapless bh's,/nl_nl/productpage.0505882002.html,17.99,,['Wit/zwart']
2938,0708230022,ladies_tops_shortsleeve,Top,/nl_nl/productpage.0708230022.html,9.99,,['Wit/L’amore']
2939,0706371001,ladies_skirts_shortskirts,Korte rok van imitatiesuède,/nl_nl/productpage.0706371001.html,34.99,,['Lichtbeige']
2940,0735402002,ladies_swimwear_swimsuits,Badpak met dessin,/nl_nl/productpage.0735402002.html,14.99,,['Zwart/oranje']
2941,0751839001,ladies_maternity_dresses,MAMA Mouwloze jurk,/nl_nl/productpage.0751839001.html,29.99,,['Poederroze']
2942,0713340002,ladies_shirtsblouses_blouses,Chiffon blouse,/nl_nl/productpage.0713340002.html,29.99,,['Roomwit/dessin']
2943,0578311011,ladies_shoes_ballerinas_flats,Ballerina's met spitse neus,/nl_nl/productpage.0578311011.html,39.99,PREMIUM QUALITY,['Geel']
2944,0778848001,ladies_maternity_dresses,MAMA Jurk met vlindermouwen,/nl_nl/productpage.0778848001.html,49.99,,['Wit/blauwe bloemen']
2945,0573716053,ladies_trousers_slim,Pantalon,/nl_nl/productpage.0573716053.html,14.99,,['Donkerblauw/wit gestreept']
2946,0729315004,ladies_lingerie_bras_padded,Padded T-shirt bh van kant,/nl_nl/productpage.0729315004.html,14.99,,['Lichtblauw']
2947,0714803003,ladies_dresses_shortdresses,Jurk met V-hals,/nl_nl/productpage.0714803003.html,24.99,,['Beige/stippen']
2948,0579302010,ladies_lingerie_bras_softwireless,Beugelloze push-up bralette,/nl_nl/productpage.0579302010.html,19.99,,['Rood']
2949,0678175003,ladies_jacketscoats_coats,Trenchcoat van lyocell,/nl_nl/productpage.0678175003.html,49.99,,['Zwart']
2950,0744792003,ladies_dresses_shortdresses,Slip-in jurk,/nl_nl/productpage.0744792003.html,29.99,,['Wit/luipaarddessin']
2951,0733106004,ladies_shirtsblouses_blouses,Blouse met gestrikt detail,/nl_nl/productpage.0733106004.html,24.99,,['Kakigroen/slangenleerdessin']
2952,0722436002,ladies_swimwear_bikinisets_tops,Bikinitop met volants,/nl_nl/productpage.0722436002.html,17.99,,['Wit/stippen']
2953,0765535002,ladies_shirtsblouses_blouses,Blouse met V-hals,/nl_nl/productpage.0765535002.html,19.99,,['Wit/gestreept']
2954,0707743002,ladies_shirtsblouses_blouses,Crinkleblouse,/nl_nl/productpage.0707743002.html,14.99,,['Bruin/witte bloemen']
2955,0719308002,ladies_dresses_mididresses,Jurk met volants,/nl_nl/productpage.0719308002.html,34.99,,['Zwart/bladdessin']
2956,0750712004,ladies_shirtsblouses_blouses,Overslagblouse,/nl_nl/productpage.0750712004.html,19.99,,['Wit/dessin']
