,articlecode,category,heading,href,price,quality,swatches
2232,0663358003,men_shoes_dressed,Derbyschoenen,/nl_nl/productpage.0663358003.html,39.99,,['Zwart/imitatiesuède']
2233,0793104001,men_tshirtstanks_shortsleeve,Raw-edge T-shirt,/nl_nl/productpage.0793104001.html,9.99,,['Wit']
2234,0584631041,men_socks,5 paar sokken,/nl_nl/productpage.0584631041.html,9.99,,['Rood']
2235,0595508001,men_tshirtstanks_shortsleeve,T-shirt van katoen en zijde,/nl_nl/productpage.0595508001.html,19.99,,['Zwart']
2236,0656749010,men_trousers_trousers_skinny_all,Kostuumpantalon - Skinny fit,/nl_nl/productpage.0656749010.html,29.99,,['Zwart/wit geruit']
2237,0532102013,men_shoes_sneakers,Sneakers,/nl_nl/productpage.0532102013.html,89.99,,['Zwart']
2238,0635117001,men_trousers_joggers,Joggers,/nl_nl/productpage.0635117001.html,19.99,,['Zwart']
2239,0479453002,men_shoes_dressed,Leren loafers,/nl_nl/productpage.0479453002.html,59.99,PREMIUM QUALITY,['Cognacbruin']
2240,0740955001,men_tshirtstanks_printed,T-shirt met print,/nl_nl/productpage.0740955001.html,14.99,,['Zwart/Romeo en Julia']
2241,0530166001,men_shoes_boots,Desertboots,/nl_nl/productpage.0530166001.html,49.99,,['Cognacbruin']
2242,0717154002,men_cardigansjumpers_jumpers,Ribgebreide trui,/nl_nl/productpage.0717154002.html,59.99,,['Groen/blokkleuren']
2243,0690470001,men_shoes_dressed,Derbyschoenen,/nl_nl/productpage.0690470001.html,39.99,,['Zwart']
2244,0254303050,men_sport_sportaccessories,3 paar sportsokken,/nl_nl/productpage.0254303050.html,9.99,,['Grijs/zwart']
2245,0726443001,men_jacketscoats_bomberjackets,Gewatteerd capuchonjack,/nl_nl/productpage.0726443001.html,59.99,,['Zwart']
2246,0662932002,men_shirts_shortsleeved,Casual overhemd met tekstprint,/nl_nl/productpage.0662932002.html,19.99,,['Zwart/Lover']
2247,0451556008,men_sport_tops,Hardloopshirt met lange mouwen,/nl_nl/productpage.0451556008.html,19.99,,['Zwart/Run your city']
2248,0733475003,men_tshirtstanks_tanks,Tricot tanktop,/nl_nl/productpage.0733475003.html,7.99,,['Wit']
2249,0762924001,men_tshirtstanks_shortsleeve,T-shirt,/nl_nl/productpage.0762924001.html,12.99,,['Kakigroen']
2250,0397068015,men_jeans_skinny,Skinny Jeans,/nl_nl/productpage.0397068015.html,19.99,,['Zwart']
2251,0553092012,men_blazerssuits_blazers,Colbert - Super skinny fit,/nl_nl/productpage.0553092012.html,59.99,,['Zwart']
2252,0759125004,men_hoodiessweatshirts_sweatshirts,Gestreept katoenen shirt,/nl_nl/productpage.0759125004.html,19.99,,['Donkerblauw/geel gestreept']
2253,0752312001,men_tshirtstanks_shortsleeve,T-shirt met naden,/nl_nl/productpage.0752312001.html,9.99,,['Zwart']
2254,0694968005,men_trousers_joggers,Joggers met biezen,/nl_nl/productpage.0694968005.html,19.99,,['Bordeauxrood/wit']
2255,0683292001,men_shirt_dressed_slimfit,Overhemd van premium cotton,/nl_nl/productpage.0683292001.html,29.99,PREMIUM QUALITY,['Lichtblauw/wit gestreept']
2256,0570759001,men_sport_bottoms,Sportshort,/nl_nl/productpage.0570759001.html,19.99,,['Zwart']
2257,0759611002,men_tshirtstanks_tanks,Tanktop met dessin,/nl_nl/productpage.0759611002.html,7.99,,['Zwart/slangenleerdessin']
2258,0783359001,men_accessories_hatscaps,Pet met applicatie,/nl_nl/productpage.0783359001.html,9.99,,['Donkerblauw']
2259,0509893011,men_sport_tops,Mouwloos sportshirt,/nl_nl/productpage.0509893011.html,24.99,,['Beige']
