dwangmiddel,boete,jaar,aantal
Rijbewijs,Verkeerslichten,2018,3756
Rijbewijs,Overigen,2018,39652
Rijbewijs,Totaal,2018,95717
Voertuig,Snelheid,2018,46134
Voertuig,Parkeren/stilstaan,2018,7944
Voertuig,Verkeerslichten,2018,3687
Voertuig,Overigen,2018,42904
Voertuig,Totaal,2018,100669
Gijzeling,Snelheid,2018,397
Gijzeling,Parkeren/stilstaan,2018,106
Gijzeling,Verkeerslichten,2018,53
Gijzeling,Overigen,2018,659
Gijzeling,Totaal,2018,1215
Pro forma,Snelheid,2018,0
Pro forma,Parkeren/stilstaan,2018,0
Pro forma,Verkeerslichten,2018,0
Pro forma,Overigen,2018,0
Pro forma,Totaal,2018,0
Totaal,Snelheid,2018,91481
Totaal,Parkeren/stilstaan,2018,15409
Totaal,Verkeerslichten,2018,7496
Totaal,Overigen,2018,83215
Totaal,Totaal,2018,197601
